"";"Model1";"Model2";"Sum"
"PRS.11";0,0368043414478994;0,0378278032996584;0,0746321447475578
"PRS.35";0,0369586122982927;0,0375108703103042;0,0744694826085969
"PRS.25";0,0369616809505889;0,0372647617353917;0,0742264426859806
"PRS.24";0,036882171152625;0,0373052716638766;0,0741874428165016
"PRS.33";0,0367799645216286;0,0373440062270369;0,0741239707486654
"PRS.31";0,0365909926606942;0,0371983398085579;0,0737893324692521
"PRS.36";0,0362641101516856;0,0369444627585836;0,0732085729102692
"PRS.37";0,0362365537711992;0,0367576762197764;0,0729942299909756
"PRS.19";0,0364637259406256;0,0364981181637466;0,0729618441043722
"PRS.18";0,0363265110197285;0,0365058332185612;0,0728323442382897
"PRS.21";0,0362067008346195;0,0365526626843595;0,072759363518979
"PRS.23";0,0361141331228285;0,036412263283157;0,0725263964059855
"PRS.38";0,0359973264865793;0,0365202607149089;0,0725175872014882
"PRS.22";0,0359530266717706;0,0362145156076102;0,0721675422793808
"PRS.20";0,0357166024116887;0,0361388854458096;0,0718554878574983
"PRS.6";0,0312422372177554;0,0397070320833745;0,07094926930113
"PRS.17";0,0345079930293671;0,034515084399238;0,0690230774286051
"PRS.16";0,0333144008969209;0,0337145601228378;0,0670289610197587
"PRS.4";0,0277864793434383;0,0385607948219006;0,0663472741653389
"PRS.7";0,0299479230960113;0,0351367761777907;0,065084699273802
"PRS.3";0,0307638110252855;0,0334202889323152;0,0641840999576007
"PRS.1";0,0310069472663215;0,0310578295169528;0,0620647767832743
"PRS.8";0,0306196890090192;0,0311630350161054;0,0617827240251246
"PRS.5";0,0289027422289038;0,0290280650556592;0,057930807284563
