"";"Model1";"Model2";"Model3";"Model4";"Sum"
"PRS.5";0,0659099133363131;0,143863573682169;0,116750586683295;0,173081797953219;0,499605871654996
"PRS.10";0,0426322495769134;0,0590832031353638;0,140071365962583;0,183891426288213;0,425678244963073
"PRS.8";0,0533029558311702;0,0703476557985596;0,1239487815906;0,162660895914406;0,410260289134736
"PRS.2";0,0615764208893228;0,0621283707482909;0,129351427781233;0,129461357344889;0,382517576763735
"PRS.9";0,0369186021433464;0,0744558542796287;0,106141893500158;0,144307823126503;0,361824173049636
"PRS.1";0,0625044265218342;0,0626052640750903;0,113841742288204;0,114086947169283;0,353038380054412
"PRS.4";0,0646303909505776;0,0662821138034275;0,10702555778169;0,110276848058238;0,348214910593933
"PRS.3";0,0607264729910718;0,060781516508775;0,106553547269398;0,106881156685947;0,334942693455192
"PRS.7";0,0365115609590637;0,0399670722567402;0,106286293305192;0,111876815412879;0,294641741933876
"PRS.6";0,0372489852695374;0,0373488434638863;0,0924490495277042;0,0926229869277665;0,259669865188894
