"";"Model1";"Model2";"Sum"
"PRS.9";0,0241598043660307;0,048058739374713;0,0722185437407437
"PRS.48";0,0304251074979714;0,0417298624733266;0,0721549699712979
"PRS.30";0,0302118223386191;0,0419351471109744;0,0721469694495935
"PRS.22";0,029488691759021;0,0421075162747569;0,0715962080337779
"PRS.53";0,0304861616965429;0,0410209310024353;0,0715070926989782
"PRS.52";0,0302826253438867;0,0407999124019942;0,0710825377458809
"PRS.18";0,0281470600354385;0,0428635364276984;0,071010596463137
"PRS.32";0,0295042230671737;0,0412185583499135;0,0707227814170872
"PRS.58";0,030935521589194;0,0397270227380653;0,0706625443272594
"PRS.57";0,0306700325794657;0,0399812723746529;0,0706513049541186
"PRS.51";0,030218591617055;0,040420594347758;0,070639185964813
"PRS.41";0,029352085315235;0,0409815051518163;0,0703335904670513
"PRS.50";0,0296264141177838;0,0403568096500294;0,0699832237678132
"PRS.1";0,0263556280864596;0,0416731145867728;0,0680287426732324
"PRS.25";0,027407326919181;0,0402580015458515;0,0676653284650325
"PRS.19";0,0274737359983901;0,0387320204457935;0,0662057564441836
"PRS.24";0,0273172018701593;0,0377499436854753;0,0650671455556346
"PRS.8";0,0246427519607164;0,0388427990912621;0,0634855510519784
"PRS.7";0,0252794944321785;0,0328487355185159;0,0581282299506944
"PRS.6";0,0245771039286933;0,0251967738931435;0,0497738778218368
"PRS.3";0,0177156526734273;0,0240795152458315;0,0417951679192588
"PRS.4";0,0146811916722547;0,0247217487344956;0,0394029404067503
"PRS.2";0,0182764358066937;0,0183397476113359;0,0366161834180297
"PRS.5";0,0146622350384409;0,0152782922610826;0,0299405272995235
