"";"Model1";"Model2";"Model3";"Model4";"Sum";"effect";"lower";"upper"
"PRS.5";0,0659099133363131;0,143863573682169;0,116750586683295;0,173081797953219;0,499605871654996;0,499605871654996;0,454045120877671;0,545166622432321
"PRS.10";0,0426322495769134;0,0590832031353638;0,140071365962583;0,183891426288213;0,425678244963073;0,425678244963073;0,358735767758263;0,492620722167883
