"";"Model1";"Model2";"Model3";"Model4";"Sum"
"PRS.4";0,0656132862080185;0,0742042733272181;0,126000835298663;0,151460698487275;0,417279093321175
"PRS.6";0,0559696616216872;0,0622053577517751;0,136382525380942;0,157592036336485;0,412149581090889
"PRS.2";0,0497395457352856;0,0530921358540163;0,118500058929164;0,123567525587964;0,34489926610643
"PRS.5";0,0530881509484939;0,067283115802255;0,10264611981231;0,11770778204292;0,340725168605979
"PRS.8";0,0799527395239862;0,0803490250627883;0,0808822004019768;0,0814178181379411;0,322601783126692
"PRS.9";0,0793287519226265;0,0802806722603936;0,079339686020018;0,0803006617770533;0,319249771980091
"PRS.1";0,0491217236263002;0,0501645791528699;0,106822756206053;0,10721952729722;0,313328586282444
"PRS.7";0,0687737110617911;0,0749492953218753;0,0711913932051647;0,0787417129573922;0,293656112546223
"PRS.3";0,0491208639347507;0,0494738242620257;0,0809718246722337;0,0824537137282452;0,262020226597255
