"";"Model1";"Model2";"Model3";"Model4";"Sum";"effect";"lower";"upper"
"PRS.1";0,190647895216118;0,210617054328082;0,192838157940577;0,211764669371262;0,805867776856039;0,805867776856039;0,794594276478527;0,817141277233551
"PRS.3";0,193314905682469;0,197226700041627;0,193787689291504;0,197612962355728;0,781942257371327;0,781942257371327;0,779694894877453;0,784189619865202
